생년월일,목,화,토,금,수
191812,0,2,1,1,2
191813,0,2,1,1,2
191814,0,2,0,1,3
191815,0,2,0,0,4
191816,0,2,1,0,3
191817,2,2,1,0,1
191818,2,2,1,0,1
191819,0,3,2,0,1
1918110,0,4,1,0,1
1918111,0,3,2,0,1
1918112,0,2,3,0,1
1918113,0,2,1,2,1
1918114,0,2,1,2,1
1918115,0,2,2,0,2
1918116,0,2,1,0,3
1918117,1,2,1,0,2
1918118,1,2,2,0,1
1918119,1,3,1,0,1
1918120,1,3,1,0,1
1918121,0,2,3,0,1
1918122,0,3,2,0,1
1918123,0,3,1,1,1
1918124,0,2,2,1,1
1918125,0,2,1,1,2
1918126,0,2,1,1,2
1918127,1,2,2,0,1
1918128,1,2,1,0,2
1918129,0,3,1,0,2
1918130,0,3,2,0,1
191821,1,2,2,0,1
191822,0,2,2,1,1
191823,0,3,1,1,1
191824,2,2,1,0,1
191825,0,2,2,0,2
191826,3,1,1,1,0
191827,3,1,1,1,0
191828,2,2,2,0,0
191829,2,2,1,0,1
1918210,2,1,2,0,1
1918211,2,1,3,0,0
1918212,3,1,1,1,0
1918213,3,1,1,1,0
1918214,2,1,2,0,1
1918215,2,2,1,0,1
1918216,3,2,1,0,0
1918217,3,1,2,0,0
1918218,2,2,1,1,0
1918219,2,2,1,1,0
1918220,2,1,3,0,0
1918221,2,1,2,0,1
1918222,2,1,1,1,1
1918223,2,1,2,1,0
1918224,3,1,1,0,1
1918225,3,1,1,0,1
1918226,3,1,2,0,0
1918227,3,2,1,0,0
1918228,2,3,1,0,0
191831,2,2,2,0,0
191832,2,1,2,1,0
191833,2,1,2,1,0
191834,2,1,2,1,0
191835,2,1,1,1,1
191836,2,1,1,0,2
191837,2,1,2,0,1
191838,4,1,1,0,0
191839,4,1,1,0,0
1918310,2,2,2,0,0
1918311,2,3,1,0,0
1918312,2,2,2,0,0
1918313,2,1,3,0,0
1918314,2,1,1,2,0
1918315,2,1,1,2,0
1918316,2,1,2,0,1
1918317,2,1,1,0,2
1918318,3,1,1,0,1
1918319,3,1,2,0,0
1918320,3,2,1,0,0
1918321,3,2,1,0,0
1918322,2,1,3,0,0
1918323,2,2,2,0,0
1918324,2,2,1,1,0
1918325,2,1,2,1,0
1918326,2,1,1,1,1
1918327,2,1,1,1,1
1918328,3,1,2,0,0
1918329,3,1,1,0,1
1918330,2,2,1,0,1
191841,3,1,2,0,0
191842,3,1,2,0,0
191843,2,1,2,1,0
191844,2,2,1,1,0
191845,2,2,1,0,1
191846,0,2,3,0,1
191847,1,2,2,1,0
191848,1,2,2,1,0
191849,0,3,3,0,0
1918410,0,3,2,0,1
1918411,0,2,3,0,1
1918412,0,2,4,0,0
1918413,1,2,2,1,0
1918414,1,2,2,1,0
1918415,0,2,3,0,1
1918416,0,3,2,0,1
1918417,1,3,2,0,0
1918418,1,2,3,0,0
1918419,0,3,2,1,0
1918420,0,3,2,1,0
1918421,0,2,4,0,0
1918422,0,2,3,0,1
1918423,0,2,2,1,1
1918424,0,2,3,1,0
1918425,1,2,2,0,1
1918426,1,2,2,0,1
1918427,1,2,3,0,0
1918428,1,3,2,0,0
1918429,0,4,2,0,0
1918430,0,3,3,0,0
191851,0,2,3,1,0
191852,0,2,3,1,0
191853,0,2,3,1,0
191854,0,2,2,1,1
191855,0,2,2,0,2
191856,0,2,3,0,1
191857,2,3,1,0,0
191858,2,3,1,0,0
191859,0,4,2,0,0
1918510,0,5,1,0,0
1918511,0,4,2,0,0
1918512,0,3,3,0,0
1918513,0,3,1,2,0
1918514,0,3,1,2,0
1918515,0,3,2,0,1
1918516,0,3,1,0,2
1918517,1,3,1,0,1
1918518,1,3,2,0,0
1918519,1,4,1,0,0
1918520,1,4,1,0,0
1918521,0,3,3,0,0
1918522,0,4,2,0,0
1918523,0,4,1,1,0
1918524,0,3,2,1,0
1918525,0,3,1,1,1
1918526,0,3,1,1,1
1918527,1,3,2,0,0
1918528,1,3,1,0,1
1918529,0,4,1,0,1
1918530,0,4,2,0,0
191861,1,3,2,0,0
191862,0,3,2,1,0
191863,0,4,1,1,0
191864,0,4,1,0,1
191865,0,3,2,0,1
191866,1,3,1,1,0
191867,1,2,2,1,0
191868,0,3,3,0,0
191869,0,3,2,0,1
1918610,0,2,3,0,1
1918611,0,2,4,0,0
1918612,1,2,2,1,0
1918613,1,2,2,1,0
1918614,0,2,3,0,1
1918615,0,3,2,0,1
1918616,1,3,2,0,0
1918617,1,2,3,0,0
1918618,0,3,2,1,0
1918619,0,3,2,1,0
1918620,0,2,4,0,0
1918621,0,2,3,0,1
1918622,0,2,2,1,1
1918623,0,2,3,1,0
1918624,1,2,2,0,1
1918625,1,2,2,0,1
1918626,1,2,3,0,0
1918627,1,3,2,0,0
1918628,0,4,2,0,0
1918629,0,3,3,0,0
1918630,0,2,3,1,0
191871,0,2,3,1,0
191872,0,2,3,1,0
191873,0,2,2,1,1
191874,0,2,2,0,2
191875,0,2,3,0,1
191876,2,2,2,0,0
191877,2,2,2,0,0
191878,0,3,3,0,0
191879,0,3,3,0,0
1918710,0,2,4,0,0
1918711,0,1,5,0,0
1918712,0,1,3,2,0
1918713,0,1,3,2,0
1918714,0,1,4,0,1
1918715,0,1,3,0,2
1918716,1,1,3,0,1
1918717,1,1,4,0,0
1918718,1,2,3,0,0
1918719,1,2,3,0,0
1918720,0,1,5,0,0
1918721,0,2,4,0,0
1918722,0,2,3,1,0
1918723,0,1,4,1,0
1918724,0,1,3,1,1
1918725,0,1,3,1,1
1918726,1,1,4,0,0
1918727,1,1,3,0,1
1918728,0,2,3,0,1
1918729,0,2,4,0,0
1918730,1,1,4,0,0
191881,0,1,4,1,0
191882,0,2,3,1,0
191883,0,2,3,0,1
191884,0,1,4,0,1
191885,1,1,3,1,0
191886,1,1,3,1,0
191887,0,2,4,0,0
191888,0,2,3,0,1
191889,0,1,2,2,1
1918810,0,1,3,2,0
1918811,1,1,1,3,0
