Mcd,KorName
1,특정 감염성 및 기생충성 질환
2,신생물
3,혈액 및 조혈기관의 질환과 면역메카니즘을 침범한 특정 장애
4,"내분비, 영양 및 대사 질환"
5,정신 및 행동 장애
6,신경계통의 질환
7,눈 및 눈 부속기의 질환
8,귀 및 유돌의 질환
9,순환계통의 질환
10,호흡계통의 질환
11,소화계통의 질환
12,피부 및 피하조직의 질환
13,근골격계통 및 결합조직의 질환
14,비뇨생식계통의 질환
15,"임신, 출산 및 산후기"
16,출생전후기에 기원한 특정 병태
17,"선천기형, 변형 및 염색체이상"
18,"달리 분류되지 않은 증상, 징후와 임상 및 검사의 이상소견"
19,"손상, 중독 및 외인의 의한 특정 기타 결과"
20,질병이환 및 사망의 외인
21,건강상태 및 보건서비스 접촉에 영향을 주는 요인
22,특수목적 코드
A00,콜레라
A000,비브리오 콜레라 01 콜레라형균에 의한 콜레라
A000000,비브리오 콜레라 01 콜레라형균에 의한 콜레라
A000001,고전적 콜레라
A001,비브리오 콜레라 01 엘토르형균에 의한 콜레라
A001000,비브리오 콜레라 01 엘토르형균에 의한 콜레라
A001001,엘토르 콜레라
A009,상세불명의 콜레라
A009000,상세불명의 콜레라
A00A09,장 감염 질환
A01,장티푸스 및 파라티푸스
A010,장티푸스
A010000,장티푸스
A010001,장티푸스균에 의한 감염
A011,파라티푸스 A
A011000,파라티푸스 A
A012,파라티푸스 B
A012000,파라티푸스 B
A013,파라티푸스 C
A013000,파라티푸스 C
A014,상세불명의 파라티푸스
A014000,상세불명의 파라티푸스
A014001,파라티푸스균에 의한 감염 NOS
A02,기타 살모넬라 감염
A020,살모넬라 장염
A020000,살모넬라 장염
A020001,살모넬라증
A021,살모넬라 패혈증
A021000,살모넬라 패혈증
A022,국소적 살모넬라감염
A022000,국소적 살모넬라감염
A022001,살모넬라 관절염(M01.3*)
A022002,살모넬라 수막염(G01*)
A022003,살모넬라 골수염(M90.2*)
A022004,살모넬라 폐렴(J17.0*)
A022005,살모넬라 신세뇨관-간질병(N16.0*)
A028,기타 명시된 살모넬라 감염
A028000,기타 명시된 살모넬라 감염
A029,상세불명의 살모넬라 감염
A029000,상세불명의 살모넬라 감염
A03,시겔라증
A030,이질이질균에 의한 시겔라증
A030000,이질이질균에 의한 시겔라증
A030001,A군 시겔라증[시가-크루세 이질]
A031,플렉스네리이질균에 의한 시겔라증
A031000,플렉스네리이질균에 의한 시겔라증
A031001,B군시겔라증
A032,보이디이질균에 의한 시겔라증
